Movie_Title,Year,Score,Adjusted_Score,Director,Cast,Synopsis,Cnsensus
Lethal Weapon,1987,82,86.273,Richard Donner,"Mel Gibson, Danny Glover, Gary Busey, Darlene Love"," L.A. cop Martin Riggs (Mel Gibson), whose wife has recently died, is a loose cannon with a seeming death wish....","The most successful installment in a phenomenally successful series, Lethal Weapon helped redefine action movies for the 1980s and 1990s."
The Rock,1996,66,69.339,Michael Bay,"Sean Connery, Nicolas Cage, Ed Harris, Michael Biehn"," The sophomore film from former music video and commercial director Michael Bay, this fast-paced action yarn featured rapid-fire editing, a...","For visceral thrills, it can't be beat. Just don't expect The Rock to engage your brain."
RoboCop,1987,89,94.327,Paul Verhoeven,"Peter Weller, Nancy Allen, Ronny Cox, Kurtwood Smith"," In near-future Detroit, a murdered police officer is resurrected as an experimental crime-fighting cyborg named Robocop. Tormented by memories of...","While over-the-top and gory, Robocop is also a surprisingly smart sci-fi flick that uses ultraviolence to disguise its satire of American culture."
John Wick: Chapter 2,2017,89,100.331,Chad Stahelski,"Keanu Reeves, John Leguizamo, Bridget Moynahan, Thomas Sadoski"," In this next chapter following the 2014 hit, legendary hitman John Wick (Keanu Reeves) is forced back out of retirement...","John Wick: Chapter 2 does what a sequel should -- which in this case means doubling down on the non-stop, thrillingly choreographed action that made its predecessor so much fun."
Casino Royale,2006,95,103.905,Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench"," James Bond's first 007 mission takes him to Madagascar, where he is to spy on a terrorist Mollaka. Not everything...","Casino Royale disposes of the silliness and gadgetry that plagued recent James Bond outings, and Daniel Craig delivers what fans and critics have been waiting for: a caustic, haunted, intense reinvention of 007."
Baby Driver,2017,93,109.162,Edgar Wright,"Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal"," A talented, young getaway driver (Ansel Elgort) relies on the beat of his personal soundtrack to be the best in...","Stylish, exciting, and fueled by a killer soundtrack, Baby Driver hits the road and it's gone -- proving fast-paced action movies can be smartly written without sacrificing thrills."
Fist of Legend (Jing wu ying xiong),1994,100,76.86,Gordon Chan,"Jet Li, Paul Chiang, Yasuaki Kurata, Shinobu Nakayama (II)"," Jet Li stars in this historical Hong Kong action film, as Chen Zhen, a Chinese student in Japan in the...",No consensus yet.
The Killer,1989,98,100.632,John Woo,"Yun-Fat Chow, Sally Yeh, Danny Lee, Kenneth Tsang"," Chow Yun-Fat, director John Woo's favorite actor, stars as a professional assassin. The moral outrages of his employers lead Yun-Fat,...",The Killer is another hard-boiled action flick from John Woo featuring eye-popping balletic violence and philosophical underpinnings.
The Raid 2,2014,80,86.313,Gareth Evans,"Iko Uwais, Yahan Ruhian, Arifin Putra, Oka Antara", He thought it was over. After fighting his way out of a building filled with gangsters and madmen - a...,"Although its high-energy plot and over-the-top violence may play better with genre aficionados, The Raid 2 definitely delivers more of everything audiences loved about its predecessor."
Enter the Dragon,1973,94,98.683,Robert Clouse,"Bruce Lee, John Saxon, Jim Kelly, Shih Kien"," One of the most popular kung fu films ever, and perhaps the peak of the famed Bruce Lee's career, Enter...","Badass to the max, Enter the Dragon is the ultimate kung-fu movie and fitting (if untimely) Bruce Lee swan song."
Commando,1985,71,73.035,Mark L. Lester,"Arnold Schwarzenegger, Alyssa Milano, Rae Dawn Chong, Dan Hedaya", Colonel Matrix (Arnold Schwarzenegger) is retired and living peaceably with his 10-year-old daughter (Alyssa Milano) when she is kidnapped by...,"The ultimate '80s Schwarzenegger movie, replete with a threadbare plot, outsized action, and endless one-liners."
First Blood,1982,87,90.892,Ted Kotcheff,"Sylvester Stallone, Richard Crenna, Brian Dennehy, David Caruso", A former Green Beret must use all of the guerrilla tactics he learned in Vietnam to save himself after he...,"Much darker and more sensitive than the sequels it spawned, First Blood is a thrilling survival adventure that takes full advantage of Sylvester Stallone's acting skills."
Mission: Impossible Rogue Nation,2015,93,105.201,Christopher McQuarrie,"Tom Cruise, Jeremy Renner, Ving Rhames, Simon Pegg"," With the IMF disbanded, and Ethan (Tom Cruise) out in the cold, the team now faces off against a network...",Mission: Impossible Rogue Nation continues the franchise's thrilling resurgence -- and proves that Tom Cruise remains an action star without equal.
The Terminator,1984,100,104.88,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield"," A Cyborg has been sent from the future on a deadly mission, it has been programmed to kill a young...","With its impressive action sequences, taut economic direction, and relentlessly fast pace, it's clear why The Terminator continues to be an influence on sci-fi and action flicks."
Gladiator,2000,76,83.2,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"," A man robbed of his name and his dignity strives to win them back, and gain the freedom of his...",Ridley Scott and an excellent cast successfully convey the intensity of Roman gladitorial combat as well as the political intrigue brewing beneath.
Kill Bill: Volume 1,2003,85,91.872,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, David Carradine", An entire wedding party is slaughtered during a dress rehearsal in a rural chapel: the pregnant woman in the blood-splattered...,Kill Bill is admittedly little more than a stylish revenge thriller -- albeit one that benefits from a wildly inventive surfeit of style.
Léon: The Professional,1994,73,76.842,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"," As visually stylish as it is graphically violent, this thriller directed by Luc Besson concerns Mathilda (Natalie Portman), a 12-year-old...",Pivoting on the unusual relationship between seasoned hitman and his 12-year-old apprentice -- a breakout turn by young Natalie Portman -- Luc Besson's Léon is a stylish and oddly affecting thriller.
Speed,1994,94,97.919,Jan de Bont,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton"," If you don't think Speed is the fastest-moving adventure film ever made, we challenge you to find a faster one....","A terrific popcorn thriller, Speed is taut, tense, and energetic, with outstanding performances from Keanu Reeves, Dennis Hopper, and Sandra Bullock."
The Legend of Drunken Master (Jui kuen II) (Drunken Fist II),1994,83,87.764,"Lau Kar-Leung, Chia-Liang Liu, Liu Chia-Liang","Jackie Chan, Siu Tin Yuen, Jang Lee Hwang, Kau Lam", Jackie Chan returns in one of his greatest roles in this action-comedy sequel to his 1978 Hong Kong blockbuster Drunken...,Jackie Chan sends up some amazing and entertaining fight sequences in The Legend of Drunken Master.
John Wick,2014,86,94.217,"David Leitch, Chad Stahelski","Keanu Reeves, Michael Nyqvist, Alfie Allen, Adrianne Palicki", An ex-hitman comes out of retirement to track down the gangsters that took everything from him. With New York City...,"Stylish, thrilling, and giddily kinetic, John Wick serves as a satisfying return to action for Keanu Reeves -- and what looks like it could be the first of a franchise."
"Crouching Tiger, Hidden Dragon",2001,97,101.918,Ang Lee,"Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Chen Chang", Taiwanese filmmaker Ang Lee took a break from making Western period dramas to fashion this wild and woolly martial arts...,"The movie that catapulted Ang Lee into the ranks of upper echelon Hollywood filmmakers, Crouching Tiger, Hidden Dragon features a deft mix of amazing martial arts battles, beautiful scenery, and tasteful drama."
Predator,1987,81,84.602,John McTiernan,"Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo, Bill Duke"," Dutch (Arnold Schwarzenegger) has a code of honor which he will not violate, even when his life depends on it....","Predator: Part sci-fi, part horror, part action -- all muscle."
The Bourne Ultimatum,2007,92,101.027,Paul Greengrass,"Matt Damon, Julia Stiles, David Strathairn, Scott Glenn", Jason Bourne (Matt Damon) races to solve the mystery of his past while being hunted by members of the very...,"The Bourne Ultimatum is an intelligent, finely tuned non-stop thrill ride. Another strong performance from Matt Damon and sharp camerawork from Paul Greengrass make this the finest installment of the Bourne trilogy."
Total Recall,1990,82,86.717,Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox"," In Paul Verhoeven's wild sci-fi action movie Total Recall, Arnold Schwarzenegger plays a 21st-century construction worker who discovers that his...","Under Paul Verhoeven's frenetic direction, Total Recall is a fast-paced rush of violence, gore, and humor that never slacks."
Mad Max 2: The Road Warrior,1982,95,98.783,George Miller,"Mel Gibson, Bruce Spence, Vernon Wells, Emil Minty", Director George Miller's follow-up to his own 1979 hit Mad Max is proof that not all sequels are inferior to...,"The Road Warrior is everything a bigger-budgeted Mad Max sequel with should be: bigger, faster, louder, but definitely not dumber."
Heat,1995,86,91.173,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight"," A successful career criminal considers getting out of the business after one last score, while an obsessive cop desperately tries...","Though Al Pacino and Robert De Niro share but a handful of screen minutes together, Heat is an engrossing crime drama that draws compelling performances from its stars -- and confirms Michael Mann's mastery of the genre."
The Raid: Redemption,2012,86,91.686,Gareth Evans,"Iko Uwais, Joe Taslim, Doni Alamsyah, Yahan Ruhian"," As a rookie member of an elite special-forces team, Rama (Iko Uwais) is instructed to hang back during a covert...","No frills and all thrills, The Raid: Redemption is an inventive action film expertly paced and edited for maximum entertainment."
Mission: Impossible - Fallout,2018,97,115.583,Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg", The best intentions often come back to haunt you. MISSION: IMPOSSIBLE - FALLOUT finds Ethan Hunt (Tom Cruise) and his...,"Fast, sleek, and fun, Mission: Impossible - Fallout lives up to the ""impossible"" part of its name by setting yet another high mark for insane set pieces in a franchise full of them."
Raiders of the Lost Ark,1981,95,101.168,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, Wolf Kahler"," Indiana Jones (Harrison Ford) is no ordinary archeologist. When we first see him, he is somewhere in the Peruvian jungle...","Featuring bravura set pieces, sly humor, and white-knuckle action, Raiders of the Lost Ark is one of the most consummately entertaining adventure pictures of all time."
Aliens,1986,97,104.095,James Cameron,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser"," Big-budget special effects, swiftly paced action, and a distinct feminist subtext from writer/director James Cameron turned what should have been...","While Alien was a marvel of slow-building, atmospheric tension, Aliens packs a much more visceral punch, and features a typically strong performance from Sigourney Weaver."
Lat sau san taam (Hard-Boiled),1992,94,96.042,John Woo,"Yun-Fat Chow, Tony Leung Chiu Wai, Anthony Wong, Teresa Mo"," Yun-Fat portrays a maverick, clarinet-playing cop nicknamed ""Tequila"" whose partner is killed in the dizzying chaos of a restaurant gunfight...","Boasting impactful action as well as surprising emotional resonance, Hard Boiled is a powerful thriller that hits hard in more ways than one."
The Matrix,1999,87,93.703,"Lilly Wachowski, Lana Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Joe Pantoliano"," What if virtual reality wasn't just for fun, but was being used to imprison you? That's the dilemma that faces...","Thanks to the Wachowskis' imaginative vision, The Matrix is a smartly crafted combination of spectacular action and groundbreaking special effects."
Terminator 2: Judgment Day,1991,93,99.158,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick"," A sequel to the sci-fi action thriller that made him and star Arnold Schwarzenegger A-list Hollywood names, writer/director James Cameron...","T2 features thrilling action sequences and eye-popping visual effects, but what takes this sci-fi/ action landmark to the next level is the depth of the human (and cyborg) characters."
Die Hard,1988,93,98.793,John McTiernan,"Bruce Willis, Alan Rickman, Reginald VelJohnson, Bonnie Bedelia"," It's Christmas time in L.A., and there's an employee party in progress on the 30th floor of the Nakatomi Corporation...",Its many imitators (and sequels) have never come close to matching the taut thrills of the definitive holiday action classic.
Mad Max: Fury Road,2015,97,113.363,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Rosie Huntington-Whiteley"," Filmmaker George Miller gears up for another post-apocalyptic action adventure with Fury Road, the fourth outing in the Mad Max...","With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life."
