Movie_Title,Year,Score,Adjusted_Score,Director,Cast,Synopsis,Cnsensus
They Live,1988,86,90.631,John Carpenter,"Roddy Piper, Keith David, Meg Foster, Peter Jason", A homeless drifter discovers a reason for the ever-widening gap between the rich and the poor: a conspiracy by non-human...,"A politically subversive blend of horror and sci fi, They Live is an underrated genre film from John Carpenter."
Cliffhanger,1993,68,71.899,,, Producer Neal H. Moritz and writer Joe Gazzam team with Studio Canal for this remake of the 1993 mountain-climbing adventure...,"While it can't escape comparisons to the movies it borrows from, Cliffhanger is a tense, action-packed thriller and a showcase for the talents that made Sylvester Stallone a star."
Marvel's The Avengers,2012,92,105.431,,," Marvel Studios presents Marvel's The Avengers-the Super Hero team up of a lifetime, featuring iconic Marvel Super Heroes Iron Man,...","Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces, The Avengers lives up to its hype and raises the bar for Marvel at the movies."
Hot Fuzz,2007,91,97.71,Edgar Wright,"Simon Pegg, Nick Frost, Jim Broadbent, Steve Coogan", A top London cop who is so good at his job that he makes his fellow officers look like slackers...,The brilliant minds behind Shaun of the Dead successfully take a shot at the buddy cop genre with Hot Fuzz. The result is a bitingly satiric and hugely entertaining parody.
The Warriors,1979,89,91.957,Walter Hill,"Michael Beck, James Remar, Thomas G. Waites, Dorsey Wright"," Walter Hill's hip, super-stylized action film unfurls in a dystopian near-future, when various gangs control New York City. Each gang...","As violent as it is stylish, The Warriors is a thrilling piece of pulp filmmaking."
Starship Troopers,1997,63,66.541,Paul Verhoeven,"Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey"," Paul Verhoeven has fashioned a visually spectacular, morbidly funny comic book adventure that seems to merge the fresh-faced youths of...",A fun movie...if you can accept the excessive gore and wooden acting.
Elite Squad: The Enemy Within,2011,93,93.573,José Padilha,"Wagner Moura, André Mattos, Sandro Rocha, Maria Ribeiro"," The sprawling slum that towers over Rio de Janeiro is one of the most dangerous places on Earth, and as...","Elite Squad: The Enemy Within is a bleak, violent descent into the Brazilian underbelly, ripping into the favelas with unstoppable and kinetic force."
Point Break,1991,69,73.214,Kathryn Bigelow,"Keanu Reeves, Patrick Swayze, Gary Busey, Lori Petty", Kathryn Bigelow's fourth action film follows FBI agent Johnny Utah (Keanu Reeves) as he goes undercover to infiltrate a cache...,"Absurd, over-the-top, and often wildly entertaining, Point Break is here to show you that the human spirit is still alive."
The Long Kiss Goodnight,1996,69,71.661,Renny Harlin,"Geena Davis, Samuel L. Jackson, Patrick Malahide, Craig Bierko", The comfortably drab life of a working mom becomes a nightmare when she finds herself pursued by an assassin who...,"Smart, sharp-witted, and fueled by enjoyably over-the-top action, The Long Kiss Goodnight makes up in impact what it lacks in consistent aim."
The Guest,2014,91,94.933,Adam Wingard,"Dan Stevens, Leland Orser, Lance Reddick, Sheila Kelley"," From the director of YOU'RE NEXT and featuring a standout, badass performance from Dan Stevens (""Downton Abbey""), comes THE GUEST:...","Boasting enough intelligence to bolster its darkly violent thrills, The Guest offers another treat for genre fans from director Adam Wingard."
Taken,2009,58,63.263,Pierre Morel,"Liam Neeson, Maggie Grace, Famke Janssen, Xander Berkeley", An ex-soldier (Liam Neeson) traveling through Europe embarks on a frantic quest to rescue his daughter (Maggie Grace) after the...,"Taken is undeniably fun with slick action, but is largely a brainless exercise."
300,2007,60,67.812,Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Rodrigo Santoro", Sin City author Frank Miller's sweeping take on the historic Battle of Thermopylae comes to the screen courtesy of Dawn...,"A simple-minded but visually exciting experience, full of blood, violence, and ready-made movie quotes."
True Lies,1994,70,72.843,"James Cameron, Tony Scott","Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton"," Borrowing liberally from the French film La Totale, this is an action picture, domestic comedy, and political thriller rolled into...","If it doesn't reach the heights of director James Cameron's and star Arnold Schwarzenegger's previous collaborations, True Lies still packs enough action and humor into its sometimes absurd plot to entertain."
Demolition Man,1993,62,64.605,Marco Brambilla,"Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne"," The plot of this action film begins in 1996, with Los Angeles in a violence-crazed conflagration. One of the LAPD's...","A better-than-average sci-fi shoot-em-up with a satirical undercurrent, Demolition Man is bolstered by strong performances by Sylvester Stallone, Wesley Snipes, and Sandra Bullock."
Hardcore Henry,2016,51,56.151,Ilya Naishuller,"Sharlto Copley, Danila Kozlovsky, Haley Bennett, Tim Roth", Strap in. Hardcore Henry is one of the most unflinchingly original wild-rides to hit the big screen in a long...,"Hardcore Henry seems poised to reinvent the action flick, but without a story or characters worth caring about, its first-person gimmick quickly loses its thrill."
Police Story (Ging chaat goo si) (Police Force),1985,93,94.41,Jackie Chan,"Jackie Chan, Brigitte Lin, Maggie Cheung, Cho Yuen"," This was internationally famous Jackie Chan's breakthrough action film, the work that got him past the ethnic boundaries of Hong...","Blending brilliant physical comedy with thrillingly choreographed set pieces, Police Story makes a persuasive case for Jackie Chan as one of the all-time genre greats."
Brotherhood of the Wolf,2001,73,76.65,Christophe Gans,"Samuel Le Bihan, Vincent Cassel, Émilie Dequenne, Monica Bellucci"," French legend has it that a creature known as the Beast of Gevaudan -- a huge, wolf-like monster -- was...","Brotherhood of the Wolf mixes its genres with little logic, but the end result is wildly entertaining."
Kingsman: The Secret Service,2015,74,83.679,Matthew Vaughn,"Taron Egerton, Colin Firth, Mark Hamill, Samuel L. Jackson"," Based upon the acclaimed comic book and directed by Matthew Vaughn (Kick Ass, X-Men First Class), Kingsman: The Secret Service...","Stylish, subversive, and above all fun, Kingsman: The Secret Service finds director Matthew Vaughn sending up the spy genre with gleeful abandon."
The Fifth Element,1997,71,74.685,Luc Besson,"Bruce Willis, Ian Holm, Gary Oldman, Chris Tucker", Good and evil battle for the future of 23rd century Earth in this visually striking big-budget science fiction epic. In...,"Visually inventive and gleefully over the top, Luc Besson's The Fifth Element is a fantastic piece of pop sci-fi that never takes itself too seriously."
Big Trouble in Little China,1986,77,80.813,John Carpenter,"Kurt Russell, Kim Cattrall, Dennis Dun, James Hong"," Playing in a manner that can be conservatively described as larger than life, Kurt Russell plays a macho truck driver...","Brimming with energy and packed with humor, Big Trouble in Little China distills kung fu B-movies as affectionately as it subverts them."
Atomic Blonde,2017,78,92.966,David Leitch,"Charlize Theron, James McAvoy, John Goodman, Til Schweiger"," A high-stakes, global action-thriller that takes place in the city of Berlin, on the eve of the Wall's collapse and...",Atomic Blonde gets enough mileage out of its stylish action sequences -- and ever-magnetic star -- to make up for a narrative that's somewhat less hard-hitting than its protagonist.
Rumble in the Bronx,1995,80,83.244,"Stanley Tong, Tong Kwei Lai","Jackie Chan, Anita Mui, Francoise Yip, Bill Tung"," After years as a major star in most of the rest of the world, Jackie Chan finally broke through to...",An entertaining Jackie Chan stunt-fest in which the impressive action sequences overcome the low production value and by-the-numbers plot.
District B13 (Banlieue 13),2006,80,83.449,Pierre Morel,"Cyril Raffaelli, David Belle, Tony D'Amario, Bibi Naceri"," A nuclear weapon has been stolen by the most powerful gang in Paris' treacherous, walled-in ghetto, and it's up to...","A nonstop thrill ride, District B13's dizzying action sequences more than make up for any expository flaws."
Beverly Hills Cop,1984,82,85.647,Martin Brest,"Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher", What's that wisecracking young black guy (Eddie Murphy) in that beat-up Chevy Nova doing in lily-white Beverly Hills? He's Axel...,"The buddy cop movie continues its evolution unabated with this Eddie Murphy vehicle that's fast, furious, and funny."
Ong-Bak (Ong Bak: Muay Thai Warrior),2005,85,88.121,Prachya Pinkaew,"Tony Jaa, Petchtai Wongkamlao, Petchthai Wongkamlao, Pumwaree Yodkamol", Exhilarating fight sequences highlight this action-packed martial-arts adventure about an orphan (Tony Jaa) who embarks on a quest to recover...,"While Ong-Bak: The Thai Warrior may be no great shakes as a movie, critics are hailing the emergence of a new star in Tony Jaa, whose athletic performance is drawing comparisons with Bruce Lee, Jackie Chan, and Jet Li."
Collateral,2004,86,92.645,Michael Mann,"Tom Cruise, Jamie Foxx, Mark Ruffalo, Jada Pinkett Smith", A taxi driver is unexpectedly taken on the ride of his life in this stylish thriller from acclaimed director Michael...,"Driven by director Michael Mann's trademark visuals and a lean, villainous performance from Tom Cruise, Collateral is a stylish and compelling noir thriller."
Iron Monkey,2001,91,93.651,Woo-ping Yuen,"Rongguang Yu, Donnie Yen, Jean Wang, Tsang Sze-Man", This kung fu classic weaving fact and myth earned a theatrical release in the U.S. from Miramax eight years after...,"Iron Monkey may not have the poetic lyricism of Crouching Tiger, it makes up for it in fun and energy."
Escape from New York,1981,86,90.941,John Carpenter,"Kurt Russell, Lee Van Cleef, Ernest Borgnine, Donald Pleasence", It's 1997 and Manhattan has been turned into a maximum security prison. When the United States president crash lands into...,"Featuring an atmospherically grimy futuristic metropolis, Escape from New York is a strange, entertaining jumble of thrilling action and oddball weirdness."
Battle Royale,2000,87,87.976,Kinji Fukasaku,"Aki Maeda, Ai Iwamura, Chiaki Kuriyama, Tatsuya Fujiwara"," A long-unavailable underground hit that anticipated The Hunger Games novels by eight years, veteran director Fukasaku's epically violent, still-controversial and...","Battle Royale is a controversial and violent parable of adolescence, heightening teenage melodrama with life-or-death stakes."
Spider-Man 2,2004,93,100.886,Sam Raimi,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina", Stan Lee's all-too-human superhero returns to the screen in this highly anticipated sequel to 2002's blockbuster hit Spider-Man. Peter Parker...,"Boasting an entertaining villain and deeper emotional focus, this is a nimble sequel that improves upon the original."
13 Assassins,2011,95,98.509,Takashi Miike,"Koji Yakusho, Takayuki Yamada, Yusuke Iseya, Goro Inagaki"," Cult director Takeshi Miike (Ichi the Killer, Audition) delivers a bravado period action film set at the end of Japan's...","Takashi Miike's electric remake of Eiichi Kudo's 1963 period action film is a wild spectacle executed with killer, dizzying panache."
Full Contact,1992,88,61.183,Ringo Lam,"Yun-Fat Chow, Simon Yam, Ann Bridgewater, Anthony Wong"," Another entry into the ""cheer for the most likeable bad guy"" series of Hong Kong action flicks, Full Contact tells...",No consensus yet.
Indiana Jones and the Last Crusade,1989,88,93.265,Steven Spielberg,"Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott"," The third installment in the Spielberg/Lucas Indiana Jones saga, Indiana Jones and the Last Crusade evokes many of the thrills...","Lighter and more comedic than its predecessor, Indiana Jones and the Last Crusade returns the series to the brisk serial adventure of Raiders, while adding a dynamite double act between Harrison Ford and Sean Connery."
Kung Fu Hustle,2005,90,96.173,Stephen Chow,"Stephen Chow, Wah Yuen, Shengyi Huang, Kwok-Kwan Chan"," The work of international superstar Stephen Chow, Kung Fu Hustle is a humorous, special-effects-filled, action-packed martial arts epic set in...","Kung Fu Hustle blends special effects, martial arts, and the Looney Toons to hilarious effect."
A Better Tomorrow,2010,93,44.149,Hae-sung Song,"Yun-Fat Chow, Leslie Cheung, Lung Ti, Young Pao I"," John Woo established himself as one of Hong Kong's premiere action directors with this ultra-hip, ultra-violent action classic. The film...",No consensus yet.
Iron Man,2008,94,104.691,,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow"," Billionaire industrialist and genius inventor Tony Stark is kidnapped and forced to build a devastating weapon. Instead, using his intelligence...","Powered by Robert Downey Jr.'s vibrant charm, Iron Man turbo-charges the superhero genre with a deft intelligence and infectious sense of fun."
The Night Comes For Us,2018,90,90.412,Timo Tjahjanto,"Joe Taslim, Iko Uwais, Julie Estelle, Sunny Pang"," The Night Comes For Us follows Ito (played by Joe Taslim), a former triad enforcer, and his mission to protect...","A bloody thrill ride designed to test the limits of more squeamish viewers, The Night Comes for Us wields a stylishly violent, action-packed punch."
Logan,2017,93,110.634,James Mangold,"Hugh Jackman, Patrick Stewart, Boyd Holbrook, Stephen Merchant"," It's 2029. Mutants are gone--or very nearly so. An isolated, despondent Logan is drinking his days away in a hideout...","Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions."
Goldfinger,1964,98,104.218,Guy Hamilton,"Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton"," To many, the quintessential Bond film and a brilliant third entry in the series. Here Bond gets his Aston Martin,...","Goldfinger is where James Bond as we know him comes into focus - it features one of 007's most famous lines (""A martini. Shaken, not stirred"") and a wide range of gadgets that would become the series' trademark."
Assault on Precinct 13,1976,98,102.296,John Carpenter,"Austin Stoker, Darwin Joston, Gilbert De la Pena, Laurie Zimmer"," Cops, secretaries, and prisoners stuck in a soon-to-be-shuttered L.A. police station fight off a horde of murderous gang members in...","Lean, taut and compellingly gritty, John Carpenter's loose update of Rio Bravo ranks as a cult action classic and one of the filmmaker's best."
Wonder Woman,2017,93,112.475,Patty Jenkins,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright", An Amazon princess (Gal Gadot) finds her idyllic life on an island occupied only by female warriors interrupted when a...,"Thrilling, earnest, and buoyed by Gal Gadot's charismatic performance, Wonder Woman succeeds in spectacular fashion."
